country,year,country_iso,disaster_new_displacement,conflict_stock_displacement,conflict_new_displacement,total_displacement,population,disaster_per_100k,conflict_per_100k,total_displacement_100k,conflict_subtotal_displacement
India,2019,IND,5017722,0,19005,5036727,1383112050,362.784924,1.374075,364.158999,19005
China,2017,CHN,4473319,0,0,4473319,1396215000,320.38898,0,320.38898,0
Philippines,2019,PHL,4094228,0,183273,4277501,110380804,3709.184796,166.037022,3875.221818,183273
Bangladesh,2019,BGD,4086203,0,520,4086723,165516222,2468.76285,0.314169,2469.077019,520
China,2019,CHN,4033553,0,0,4033553,1407745000,286.525827,0,286.525827,0
Philippines,2018,PHL,3801971,300806,188314,4291091,108568836,3501.899016,450.516021,3952.415037,489120
China,2018,CHN,3762370,0,0,3762370,1402760000,268.211954,0,268.211954,0
India,2018,IND,2675414,479446,169313,3324173,1369003306,195.42787,47.389148,242.817018,648759
Afghanistan,2018,AFG,435448,2597897,371779,3405124,36686784,1186.934238,8094.675183,9281.609421,2969676
Philippines,2017,PHL,2528620,445268,644811,3618699,106738501,2368.985864,1021.261297,3390.247161,1090079
India,2017,IND,1345994,805744,78489,2230227,1354195680,99.39435,65.295807,164.690158,884233
Afghanistan,2017,AFG,26849,1286483,473892,1787224,35643418,75.32667,4938.850141,5014.176811,1760375
Bangladesh,2017,BGD,946119,432000,6000,1384119,161793964,584.767798,270.714673,855.48247,438000
Indonesia,2018,IDN,853305,15902,4497,873704,267066843,319.509899,7.638163,327.148062,20399
Myanmar,2017,MMR,351436,635155,56967,1043558,52288341,672.11159,1323.664103,1995.775693,692122
Vietnam,2017,VNM,633463,0,0,633463,94033048,673.659967,0,673.659967,0
Iran,2019,IRN,519724,0,0,519724,86564202,600.391372,0,600.391372,0
Indonesia,2019,IDN,462646,0,23396,486042,269582878,171.615499,8.678593,180.294091,23396
Afghanistan,2019,AFG,116558,0,460692,577250,37769499,308.603511,1219.746124,1528.349635,460692
Bangladesh,2018,BGD,77789,426070,300,504159,163683958,47.5239,260.483682,308.007581,426370
Myanmar,2018,MMR,298023,401168,42434,741625,52666014,565.873468,842.292717,1408.166185,443602
Nepal,2017,NPL,383904,2,2,383908,28183426,1362.162286,0.014193,1362.176479,4
Indonesia,2017,IDN,364971,12905,2750,380626,264498852,137.985854,5.91874,143.904594,15655
Myanmar,2019,MMR,270012,0,79652,349664,53040212,509.070363,150.172854,659.243217,79652
Pakistan,2017,PAK,1750,249491,75137,326378,216379655,0.808764,150.027044,150.835808,324628
Iran,2017,IRN,224599,0,0,224599,84505076,265.781667,0,265.781667,0
Vietnam,2018,VNM,143047,0,0,143047,94914330,150.7117,0,150.7117,0
Sri Lanka,2017,LKA,135038,41938,0,176976,21506813,627.884754,194.998673,822.883428,41938
Nepal,2019,NPL,120902,0,0,120902,28832496,419.325472,0,419.325472,0
Pakistan,2018,PAK,2078,118996,1832,122906,219731479,0.9457,54.988935,55.934635,120828
Lao PDR,2019,LAO,102540,0,0,102540,0,0,0,0,0
Pakistan,2019,PAK,100082,0,16051,116133,223293280,44.820874,7.188304,52.009178,16051
Sri Lanka,2018,LKA,99674,37064,1138,137876,21670000,459.963083,176.289802,636.252884,38202
Vietnam,2019,VNM,88749,0,0,88749,95776716,92.662396,0,92.662396,0
Sri Lanka,2019,LKA,87051,0,1700,88751,21803000,399.26157,7.797092,407.058662,1700
Malaysia,2017,MYS,82393,0,0,82393,31975806,257.672942,0,257.672942,0
Iran,2018,IRN,73913,0,0,73913,85617562,86.329251,0,86.329251,0
Cambodia,2019,KHM,70108,0,0,70108,16207746,432.558605,0,432.558605,0
"Korea, Dem. People's Rep.",2018,PRK,68826,0,0,68826,0,0,0,0,0
Malaysia,2019,MYS,63228,0,0,63228,32804020,192.74467,0,192.74467,0
Thailand,2019,THA,61352,0,0,61352,71307763,86.038318,0,86.038318,0
Papua New Guinea,2018,PNG,61028,12440,360,73828,9329227,654.159235,137.203222,791.362457,12800
Thailand,2017,THA,50371,40584,0,90955,70898202,71.046936,57.242636,128.289572,40584
Malaysia,2018,MYS,37983,0,0,37983,32399271,117.234119,0,117.234119,0
Cambodia,2018,KHM,37177,0,0,37177,16025238,231.990314,0,231.990314,0
Papua New Guinea,2019,PNG,30994,0,1279,32273,9542486,324.800057,13.403216,338.203273,1279
Lao PDR,2018,LAO,19021,0,0,19021,0,0,0,0,0
Cambodia,2017,KHM,15068,0,0,15068,15830689,95.182212,0,95.182212,0
Vanuatu,2017,VUT,14259,0,0,14259,290239,4912.847688,0,4912.847688,0
Vanuatu,2018,VUT,12972,0,0,12972,297298,4363.298778,0,4363.298778,0
Papua New Guinea,2017,PNG,1387,12423,0,13810,9114796,15.217016,136.294877,151.511893,12423
Fiji,2018,FJI,12313,0,0,12313,918996,1339.831729,0,1339.831729,0
Nepal,2018,NPL,12296,0,0,12296,28506712,43.133701,0,43.133701,0
"Korea, Dem. People's Rep.",2019,PRK,6362,0,0,6362,0,0,0,0,0
Mongolia,2018,MNG,5931,0,0,5931,3163991,187.453125,0,187.453125,0
Tonga,2018,TON,5700,0,0,5700,0,0,0,0,0
"Korea, ROK",2019,KOR,5647,0,0,5647,0,0,0,0,0
Fiji,2019,FJI,4999,0,0,4999,918465,544.277681,0,544.277681,0
Thailand,2018,THA,4648,0,0,4648,71127802,6.534716,0,6.534716,0
"Korea, ROK",2017,KOR,4333,0,0,4333,0,0,0,0,0
Hong Kong,2017,HKG,3292,0,0,3292,7393200,44.527404,0,44.527404,0
Hong Kong,2018,HKG,1400,0,0,1400,7452600,18.78539,0,18.78539,0
"Korea, ROK",2018,KOR,1084,0,0,1084,0,0,0,0,0
Solomon Islands,2018,SLB,1058,0,0,1058,659249,160.485644,0,160.485644,0
Vanuatu,2019,VUT,1000,0,0,1000,304404,328.510795,0,328.510795,0
Solomon Islands,2017,SLB,575,0,0,575,643634,89.336486,0,89.336486,0
Fiji,2017,FJI,374,0,0,374,919019,40.695568,0,40.695568,0
Samoa,2018,WSM,327,0,0,327,0,0,0,0,0
Maldives,2019,MDV,296,0,0,296,504508,58.671022,0,58.671022,0
Hong Kong,2019,HKG,205,0,0,205,7507900,2.730457,0,2.730457,0
Marshall Islands,2019,MHL,200,0,0,200,0,0,0,0,0
Lao PDR,2017,LAO,188,0,0,188,0,0,0,0,0
Maldives,2017,MDV,76,0,0,76,472442,16.086631,0,16.086631,0
Solomon Islands,2019,SLB,31,0,0,31,674993,4.59264,0,4.59264,0
Maldives,2018,MDV,20,0,0,20,489758,4.083649,0,4.083649,0
Mongolia,2019,MNG,13,0,0,13,3232430,0.402174,0,0.402174,0
