atoll_local_names,atoll_official,island_old,island_correct,island_match
Haa Alif (HA),Haa Alif Atoll,Baarah,Baarah,TRUE
Haa Alif (HA),Haa Alif Atoll,Dhidhdhoo,Dhidhdhoo,TRUE
Haa Alif (HA),Haa Alif Atoll,Filladhoo,Filladhoo,TRUE
Haa Alif (HA),Haa Alif Atoll,Hoarafushi,Hoarafushi,TRUE
Haa Alif (HA),Haa Alif Atoll,Ihavandhoo,Ihavandhoo,TRUE
Haa Alif (HA),Haa Alif Atoll,Kelaa,Kelaa,TRUE
Haa Alif (HA),Haa Alif Atoll,Maarandhoo,Maarandhoo,TRUE
Haa Alif (HA),Haa Alif Atoll,Mulhadhoo,Mulhadhoo,TRUE
Haa Alif (HA),Haa Alif Atoll,Muraidhoo,Muraidhoo,TRUE
Haa Alif (HA),Haa Alif Atoll,Thakandhoo,Thakandhoo,TRUE
Haa Alif (HA),Haa Alif Atoll,Thurakunu,Thurakunu,TRUE
Haa Alif (HA),Haa Alif Atoll,Uligamu,Uligamu,TRUE
Haa Alif (HA),Haa Alif Atoll,Utheemu,Utheemu,TRUE
Haa Alif (HA),Haa Alif Atoll,Vashafaru,Vashafaru,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Finey,Finey,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Hanimaadhoo,Hanimaadhoo,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Hirimaradhoo,Hirimaradhoo,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Kulhudhuffushi,Kulhudhuffushi,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Kumundhoo,Kumundhoo,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Kuribi,Kurinbi,FALSE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Makunudhoo,Makunudhoo,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Naivaadhoo,Naivaadhoo,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Nellaidhoo,Nellaidhoo,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Neykurendhoo,Neykurendhoo,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Nolhivaram,Nolhivaram,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Nolhivaramfaru,Nolhivaramfaru,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Vaikaradhoo,Vaikaradhoo,TRUE
Shaviyani (Sh),Shaviyani Atoll,Bilehffahi,Bilehffahi,TRUE
Shaviyani (Sh),Shaviyani Atoll,Feevah,Feevah,TRUE
Shaviyani (Sh),Shaviyani Atoll,Feydhoo,Feydhoo,TRUE
Shaviyani (Sh),Shaviyani Atoll,Foakaidhoo,Foakaidhoo,TRUE
Shaviyani (Sh),Shaviyani Atoll,Funadhoo,Funadhoo,TRUE
Shaviyani (Sh),Shaviyani Atoll,Goidhoo,Goidhoo,TRUE
Shaviyani (Sh),Shaviyani Atoll,Kaditheemu,Kaditheemu,TRUE
Shaviyani (Sh),Shaviyani Atoll,Komandoo,Komandoo,TRUE
Shaviyani (Sh),Shaviyani Atoll,Lhaimagu,Lhaimagu,TRUE
Shaviyani (Sh),Shaviyani Atoll,Maaugoodhoo,Maaugoodhoo,TRUE
Shaviyani (Sh),Shaviyani Atoll,Maroshi,Maroshi,TRUE
Shaviyani (Sh),Shaviyani Atoll,Milandhoo,Milandhoo,TRUE
Shaviyani (Sh),Shaviyani Atoll,Narudhoo,Narudhoo,TRUE
Shaviyani (Sh),Shaviyani Atoll,Noomaraa,Noomaraa,TRUE
Noonu (N),Noonu Atoll,Fodhdhoo,Fodhdhoo,TRUE
Noonu (N),Noonu Atoll,Hebadhoo,Hebadhoo,TRUE
Noonu (N),Noonu Atoll,Holhudhoo,Holhudhoo,TRUE
Noonu (N),Noonu Atoll,Kedhikolhudhoo,Kedhikolhudhoo,TRUE
Noonu (N),Noonu Atoll,Kudafari,Kudafari,TRUE
Noonu (N),Noonu Atoll,Landhoo,Landhoo,TRUE
Noonu (N),Noonu Atoll,Lhohi,Lhohi,TRUE
Noonu (N),Noonu Atoll,Maafaru,Maafaru,TRUE
Noonu (N),Noonu Atoll,Maalhendhoo,Maalhendhoo,TRUE
Noonu (N),Noonu Atoll,Magoodhoo,Magoodhoo,TRUE
Noonu (N),Noonu Atoll,Manadhoo,Manadhoo,TRUE
Noonu (N),Noonu Atoll,Miladhoo,Miladhoo,TRUE
Noonu (N),Noonu Atoll,Velidhoo,Velidhoo,TRUE
Raa (R),Raa Atoll,Agolhitheemu,Agolhitheemu,TRUE
Raa (R),Raa Atoll,Alifushi,Alifushi,TRUE
Raa (R),Raa Atoll,Dhuvaafaru,Dhuvaafaru,TRUE
Raa (R),Raa Atoll,Fainu,Fainu,TRUE
Raa (R),Raa Atoll,Hulhudhuffaaru,Hulhudhuffaaru,TRUE
Raa (R),Raa Atoll,Iguraidhoo,Iguraidhoo,TRUE
Raa (R),Raa Atoll,Innamaadhoo,Innamaadhoo,TRUE
Raa (R),Raa Atoll,Kinolhas,Kinolhas,TRUE
Raa (R),Raa Atoll,Maakurathu,Maakurathu,TRUE
Raa (R),Raa Atoll,Maduvvari,Maduvvari,TRUE
Raa (R),Raa Atoll,Meedhoo,Meedhoo,TRUE
Raa (R),Raa Atoll,Rasgetheemu,Rasgetheemu,TRUE
Raa (R),Raa Atoll,Rasmaadhoo,Rasmaadhoo,TRUE
Raa (R),Raa Atoll,Ugoofaaru,Ugoofaaru,TRUE
Raa (R),Raa Atoll,Vaadhoo,Vaadhoo,TRUE
Baa (B),Baa Atoll,Dharavandhoo,Dharavandhoo,TRUE
Baa (B),Baa Atoll,Dhonfanu,Dhonfanu,TRUE
Baa (B),Baa Atoll,Eydhafushi,Eydhafushi,TRUE
Baa (B),Baa Atoll,Fehendhoo,Fehendhoo,TRUE
Baa (B),Baa Atoll,Fulhadhoo,Fulhadhoo,TRUE
Baa (B),Baa Atoll,Goidhoo,Goidhoo,TRUE
Baa (B),Baa Atoll,Hithaadhoo,Hithaadhoo,TRUE
Baa (B),Baa Atoll,Kamadhoo,Kamadhoo,TRUE
Baa (B),Baa Atoll,Kendhoo,Kendhoo,TRUE
Baa (B),Baa Atoll,Kihaadhoo,Kihaadhoo,TRUE
Baa (B),Baa Atoll,Kudarikilu,Kudarikilu,TRUE
Baa (B),Baa Atoll,Maalhoss,Maalhoss,TRUE
Baa (B),Baa Atoll,Thulhaadhoo,Thulhaadhoo,TRUE
Lhaviyani (Lh),Lhaviyani Atoll,Hinnavaru,Hinnavaru,TRUE
Lhaviyani (Lh),Lhaviyani Atoll,Kurendhoo,Kurendhoo,TRUE
Lhaviyani (Lh),Lhaviyani Atoll,Naifaru,Naifaru,TRUE
Lhaviyani (Lh),Lhaviyani Atoll,Olhuvelifushi,Olhuvelifushi,TRUE
Kaafu (K),Kaafu Atoll,Dhiffushi,Dhiffushi,TRUE
Kaafu (K),Kaafu Atoll,Gaafaru,Gaafaru,TRUE
Kaafu (K),Kaafu Atoll,Gulhi,Gulhi,TRUE
Kaafu (K),Kaafu Atoll,Guraidhoo,Guraidhoo,TRUE
Kaafu (K),Kaafu Atoll,Himmafushi,Himmafushi,TRUE
Kaafu (K),Kaafu Atoll,Huraa,Huraa,TRUE
Kaafu (K),Kaafu Atoll,Kaashidhoo,Kaashidhoo,TRUE
Kaafu (K),Kaafu Atoll,Maafushi,Maafushi,TRUE
Kaafu (K),Kaafu Atoll,Thulusdhoo,Thulusdhoo,TRUE
Alif Alif (AA),Alif Uthuru Buri,Bodufolhudhoo,Bodufolhudhoo,TRUE
Alif Alif (AA),Alif Uthuru Buri,Feridhoo,Feridhoo,TRUE
Alif Alif (AA),Alif Uthuru Buri,Himendhoo,Himandhoo,FALSE
Alif Alif (AA),Alif Uthuru Buri,Maalhoss,Maalhoss,TRUE
Alif Alif (AA),Alif Uthuru Buri,Mathiveri,Mathiveri,TRUE
Alif Alif (AA),Alif Uthuru Buri,Rasdhoo,Rasdhoo,TRUE
Alif Alif (AA),Alif Uthuru Buri,Thoddoo,Thoddoo,TRUE
Alif Alif (AA),Alif Uthuru Buri,Ukulhas,Ukulhas,TRUE
Alif Dhaal (ADh),Alif Dhekunu Buri,Dhangethi,Dhangethi,TRUE
Alif Dhaal (ADh),Alif Dhekunu Buri,Dhidhdhoo,Dhidhdhoo,TRUE
Alif Dhaal (ADh),Alif Dhekunu Buri,Dhigurah,Dhigurah,TRUE
Alif Dhaal (ADh),Alif Dhekunu Buri,Fenfushi,Fenfushi,TRUE
Alif Dhaal (ADh),Alif Dhekunu Buri,Hanghghaameedhoo,Hanghghaameedhoo,TRUE
Alif Dhaal (ADh),Alif Dhekunu Buri,Kunburudhoo,Kunburudhoo,TRUE
Alif Dhaal (ADh),Alif Dhekunu Buri,Maamigili,Maamigili,TRUE
Alif Dhaal (ADh),Alif Dhekunu Buri,Mahibadhoo,Mahibadhoo,TRUE
Alif Dhaal (ADh),Alif Dhekunu Buri,Mandhoo,Mandhoo,TRUE
Alif Dhaal (ADh),Alif Dhekunu Buri,Omadhoo,Omadhoo,TRUE
Vaavu (V),Vaavu Atoll,Felidhoo,Felidhoo,TRUE
Vaavu (V),Vaavu Atoll,Fulidhoo,Fulidhoo,TRUE
Vaavu (V),Vaavu Atoll,Keyodhoo,Keyodhoo,TRUE
Vaavu (V),Vaavu Atoll,Rakeedhoo,Rakeedhoo,TRUE
Vaavu (V),Vaavu Atoll,Thinadhoo,Thinadhoo,TRUE
Meemu (M),Meemu Atoll,Dhiggaru,Dhiggaru,TRUE
Meemu (M),Meemu Atoll,Kolhufushi,Kolhufushi,TRUE
Meemu (M),Meemu Atoll,Maduvvari,Maduvvari,TRUE
Meemu (M),Meemu Atoll,Mulah,Mulah,TRUE
Meemu (M),Meemu Atoll,Muli,Muli,TRUE
Meemu (M),Meemu Atoll,Naalaafushi,Naalaafushi,TRUE
Meemu (M),Meemu Atoll,Raimandhoo,Raimandhoo,TRUE
Meemu (M),Meemu Atoll,Veyvah,Veyvah,TRUE
Faafu (F),Faafu Atoll,Biledhdhoo,Biledhdhoo,TRUE
Faafu (F),Faafu Atoll,Dharaboodhoo,Dharaboodhoo,TRUE
Faafu (F),Faafu Atoll,Feeali,Feeali,TRUE
Faafu (F),Faafu Atoll,Magoodhoo,Magoodhoo,TRUE
Faafu (F),Faafu Atoll,Nilandhoo,Nilandhoo,TRUE
Dhaalu (Dh),Dhaal Atoll,Badidhoo,Badidhoo,TRUE
Dhaalu (Dh),Dhaal Atoll,Hulhudheli,Hulhudheli,TRUE
Dhaalu (Dh),Dhaal Atoll,Kudahuvadhoo,Kudahuvadhoo,TRUE
Dhaalu (Dh),Dhaal Atoll,Maaeboodhoo,Maaeboodhoo,TRUE
Dhaalu (Dh),Dhaal Atoll,Meedhoo,Meedhoo,TRUE
Dhaalu (Dh),Dhaal Atoll,Ribudhoo,Ribudhoo,TRUE
Thaa (Th),Thaa Atoll,Buruni,Buruni,TRUE
Thaa (Th),Thaa Atoll,Dhiyamigili,Dhiyamigili,TRUE
Thaa (Th),Thaa Atoll,Gaadhiffushi,Gaadhiffushi,TRUE
Thaa (Th),Thaa Atoll,Guraidhoo,Guraidhoo,TRUE
Thaa (Th),Thaa Atoll,Hirilandhoo,Hirilandhoo,TRUE
Thaa (Th),Thaa Atoll,Kadoodhoo,Kadoodhoo,TRUE
Thaa (Th),Thaa Atoll,Kibidhoo,Kibidhoo,TRUE
Thaa (Th),Thaa Atoll,Madifushi,Madifushi,TRUE
Thaa (Th),Thaa Atoll,Omadhoo,Omadhoo,TRUE
Thaa (Th),Thaa Atoll,Thimarafushi,Thimarafushi,TRUE
Thaa (Th),Thaa Atoll,Vandhoo,Vandhoo,TRUE
Thaa (Th),Thaa Atoll,Veymandoo,Veymandoo,TRUE
Thaa (Th),Thaa Atoll,Vilufushi,Vilufushi,TRUE
Laamu (L),Laamu Atoll,Dhabidhoo,Dhabidhoo,TRUE
Laamu (L),Laamu Atoll,Fonadhoo,Fonadhoo,TRUE
Laamu (L),Laamu Atoll,Gamu,Gamu,TRUE
Addu (S),Seenu Atoll,Hithadhoo,Hithadhoo,TRUE
Laamu (L),Laamu Atoll,Isdhoo,Isdhoo,TRUE
Laamu (L),Laamu Atoll,Kalhaidhoo,Kalhaidhoo,TRUE
Laamu (L),Laamu Atoll,Kunahandhoo,Kunahandhoo,TRUE
Laamu (L),Laamu Atoll,Maabaidhoo,Maabaidhoo,TRUE
Laamu (L),Laamu Atoll,Maamendhoo,Maamendhoo,TRUE
Laamu (L),Laamu Atoll,Maavah,Maavah,TRUE
Laamu (L),Laamu Atoll,Mundhoo,Mundhoo,TRUE
Gaafu Alif (GA),Gaaf Alif Atoll,Dhaandhoo,Dhaandhoo,TRUE
Gaafu Alif (GA),Gaaf Alif Atoll,Dhevvadhoo,Dhevvadhoo,TRUE
Gaafu Alif (GA),Gaaf Alif Atoll,Gemanafushi,Gemanafushi,TRUE
Gaafu Alif (GA),Gaaf Alif Atoll,Kanduhulhudhoo,Kanduhulhudhoo,TRUE
Gaafu Alif (GA),Gaaf Alif Atoll,Kodey,Kodey,TRUE
Gaafu Alif (GA),Gaaf Alif Atoll,Kolamaafushi,Kolamaafushi,TRUE
Gaafu Alif (GA),Gaaf Alif Atoll,Maamendhoo,Maamendhoo,TRUE
Gaafu Alif (GA),Gaaf Alif Atoll,Nilandhoo,Nilandhoo,TRUE
Gaafu Alif (GA),Gaaf Alif Atoll,Viligili,Viligili,TRUE
Gaafu Dhaalu (GDh),Gaaf Dhaal Atoll,Fares,Fares,TRUE
Gaafu Dhaalu (GDh),Gaaf Dhaal Atoll,Fiyoari,Fiyoari,TRUE
Gaafu Dhaalu (GDh),Gaaf Dhaal Atoll,Gadhdhoo,Gadhdhoo,TRUE
Gaafu Dhaalu (GDh),Gaaf Dhaal Atoll,Hoadedhdhoo,Hoadedhdhoo,TRUE
Gaafu Dhaalu (GDh),Gaaf Dhaal Atoll,Madeveli,Madeveli,TRUE
Gaafu Dhaalu (GDh),Gaaf Dhaal Atoll,Nadallaa,Nadallaa,TRUE
Gaafu Dhaalu (GDh),Gaaf Dhaal Atoll,Rathafandhoo,Rathafandhoo,TRUE
Gaafu Dhaalu (GDh),Gaaf Dhaal Atoll,Thinadhoo,Thinadhoo,TRUE
Gaafu Dhaalu (GDh),Gaaf Dhaal Atoll,Vaadhoo,Vaadhoo,TRUE
Gnaviyani (Gn),Gnaviyani Atoll,Foammulah,Foammulah,TRUE
Addu (S),Seenu Atoll,Feydhoo,Feydhoo,TRUE
Addu (S),Seenu Atoll,Hulhudhoo,Hulhudhoo,TRUE
Addu (S),Seenu Atoll,Maradhoo,Maradhoo,TRUE
Addu (S),Seenu Atoll,Maradhoo-Feydhoo,Maradhoo-Feydhoo,TRUE
Addu (S),Seenu Atoll,Meedhoo,Meedhoo,TRUE
Addu (S),Seenu Atoll,Hulhumeedhoo,Hulhumeedhoo,TRUE
Addu (S),Seenu Atoll,Maradhoo Feydhoo,Maradhoo-Feydhoo,FALSE
Addu (S),Seenu Atoll,Uninhabited islands and resorts,Uninhabited islands and resorts,TRUE
Alif Alif (AA),Alif Uthuru Buri,Himandhoo,Himandhoo,TRUE
Alif Alif (AA),Alif Uthuru Buri,Uninhabited islands and resorts,Uninhabited islands and resorts,TRUE
Alif Dhaal (ADh),Alif Dhekunu Buri,Uninhabited islands and resorts,Uninhabited islands and resorts,TRUE
Baa (B),Baa Atoll,Maalhos,Maalhos,TRUE
Baa (B),Baa Atoll,Uninhabited islands and resorts,Uninhabited islands and resorts,TRUE
Dhaalu (Dh),Dhaal Atoll,Bandidhoo,Badidhoo,FALSE
Dhaalu (Dh),Dhaal Atoll,Maaenboodhoo,Maaeboodhoo,FALSE
Dhaalu (Dh),Dhaal Atoll,Uninhabited islands and resorts,Uninhabited islands and resorts,TRUE
Faafu (F),Faafu Atoll,Bilehdhoo,Biledhdhoo,FALSE
Faafu (F),Faafu Atoll,dharanboodhoo,Dharaboodhoo,FALSE
Gaafu Alif (GA),Gaaf Alif Atoll,Uninhabited islands and resorts,Uninhabited islands and resorts,TRUE
Gaafu Alif (GA),Gaaf Alif Atoll,Vilingili,Viligili,FALSE
Gaafu Dhaalu (GDh),Gaaf Dhaal Atoll,Faresmaathodaa,Fares-Maathodaa,FALSE
Gaafu Dhaalu (GDh),Gaaf Dhaal Atoll,Fiyoaree,Fiyoari,FALSE
Gaafu Dhaalu (GDh),Gaaf Dhaal Atoll,Nadellaa,Nadallaa,FALSE
Gaafu Dhaalu (GDh),Gaaf Dhaal Atoll,Uninhabited islands and resorts,Uninhabited islands and resorts,TRUE
Gnaviyani (Gn),Gnaviyani Atoll,Fuvahmulah,Fuvahmulah,TRUE
Haa Alif (HA),Haa Alif Atoll,Berinmadhoo,Berinmadhoo,TRUE
Haa Alif (HA),Haa Alif Atoll,Molhadhoo,Mulhadhoo,FALSE
Haa Alif (HA),Haa Alif Atoll,Thuraakunu,Thurakunu,FALSE
Haa Alif (HA),Haa Alif Atoll,Uninhabited islands and resorts,Uninhabited islands and resorts,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Kulhudhuffushi City,Kalhaidhoo,FALSE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Kurinbi,Kurinbi,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Nolhivaran,Nolhivaram,FALSE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Nolhivaranfaru,Nolhivaramfaru,FALSE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Uninhabited islands and resorts,Uninhabited islands and resorts,TRUE
Kaafu (K),Kaafu Atoll,Aarah,Aarah,TRUE
Kaafu (K),Kaafu Atoll,Hinmafushi,Himmafushi,FALSE
Kaafu (K),Kaafu Atoll,Uninhabited islands and resorts,Uninhabited islands and resorts,TRUE
Laamu (L),Laamu Atoll,Dhanbidhoo,Dhabidhoo,FALSE
Laamu (L),Laamu Atoll,Gan,Gan,TRUE
Laamu (L),Laamu Atoll,Hithadhoo,Hithadhoo,TRUE
Laamu (L),Laamu Atoll,Kalaidhoo,Kalhaidhoo,FALSE
Laamu (L),Laamu Atoll,Uninhabited islands and resorts,Uninhabited islands and resorts,TRUE
Lhaviyani (Lh),Lhaviyani Atoll,Uninhabited islands and resorts,Uninhabited islands and resorts,TRUE
Male,Male,Hulhule,Hulhule,TRUE
Male,Male,Hulhumale',Hulhumale',TRUE
Male,Male,Male',Male',TRUE
Male,Male,Vilimale',Vilimale',TRUE
Meemu (M),Meemu Atoll,Uninhabited islands and resorts,Uninhabited islands and resorts,TRUE
Noonu (N),Noonu Atoll,Henbadhoo,Hebadhoo,FALSE
Noonu (N),Noonu Atoll,Uninhabited islands and resorts,Uninhabited islands and resorts,TRUE
Raa (R),Raa Atoll,Angolhitheemu,Angolhitheemu,TRUE
Raa (R),Raa Atoll,Inguraidhoo,Iguraidhoo,FALSE
Raa (R),Raa Atoll,Ungoofaaru,Ugoofaaru,FALSE
Raa (R),Raa Atoll,Uninhabited islands and resorts,Uninhabited islands and resorts,TRUE
Shaviyani (Sh),Shaviyani Atoll,Kanditheemu,Kaditheemu,FALSE
Thaa (Th),Thaa Atoll,Kinbidhoo,Kibidhoo,FALSE
Thaa (Th),Thaa Atoll,Uninhabited islands and resorts,Uninhabited islands and resorts,TRUE
Vaavu (V),Vaavu Atoll,Uninhabited islands and resorts,Uninhabited islands and resorts,TRUE
Alif Dhaal (ADh),Alif Dhekunu Buri,Dhagethi,Dhangethi,FALSE
Gaafu Dhaalu (GDh),Gaaf Dhaal Atoll,Fares-Maathodaa,Fares-Maathodaa,TRUE
Alif Dhaal (ADh),Alif Dhekunu Buri,Hangnameedhoo,Hanghghaameedhoo,FALSE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Nolhivaramu,Nolhivaram,FALSE
Alif Dhaal (ADh),Alif Dhekunu Buri,Kuburudhoo,Kuburudhoo,TRUE
Alif Alif (AA),Alif Uthuru Buri,Maalhos,Maalhoss,FALSE
Noonu (N),Noonu Atoll,Kedhikulhudhoo,Kedhikolhudhoo,FALSE
