Atoll,island,atoll_official,atoll_official_name,atoll_alternate
ADh,Dhagethi,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Dhidhdhoo,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Dhigurah,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Fenfushi,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Hangnameedhoo,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Kuburudhoo,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Maamigili,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Mahibadhoo,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Mandhoo,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Omadhoo,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
AA,Bodufolhudhoo,Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif
AA,Feridhoo,Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif
AA,Himandhoo,Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif
AA,Maalhos,Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif
AA,Mathiveri,Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif
AA,Rasdhoo,Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif
AA,Thoddoo,Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif
AA,Ukulhas,Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif
B,Dharavandhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Dhonfanu,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Eydhafushi,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Fehendhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Fulhadhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Goidhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Hithaadhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Kamadhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Kendhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Kihaadhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Kudarikilu,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Maalhos,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Thulhaadhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
Dh,Badidhoo,Dhaal Atoll,Nilandhe Atholhu Dhekunuburi,Dhaalu
Dh,Hulhudheli,Dhaal Atoll,Nilandhe Atholhu Dhekunuburi,Dhaalu
Dh,Kudahuvadhoo,Dhaal Atoll,Nilandhe Atholhu Dhekunuburi,Dhaalu
Dh,Maaeboodhoo,Dhaal Atoll,Nilandhe Atholhu Dhekunuburi,Dhaalu
Dh,Meedhoo,Dhaal Atoll,Nilandhe Atholhu Dhekunuburi,Dhaalu
Dh,Ribudhoo,Dhaal Atoll,Nilandhe Atholhu Dhekunuburi,Dhaalu
F,Biledhdhoo,Faafu Atoll,Nilandhe Atholhu Uthuruburi,Faafu
F,Dharaboodhoo,Faafu Atoll,Nilandhe Atholhu Uthuruburi,Faafu
F,Feeali,Faafu Atoll,Nilandhe Atholhu Uthuruburi,Faafu
F,Magoodhoo,Faafu Atoll,Nilandhe Atholhu Uthuruburi,Faafu
F,Nilandhoo,Faafu Atoll,Nilandhe Atholhu Uthuruburi,Faafu
GA,Dhaandhoo,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GA,Dhevvadhoo,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GA,Gemanafushi,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GA,Kanduhulhudhoo,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GA,Kodey,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GA,Kolamaafushi,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GA,Maamendhoo,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GA,Nilandhoo,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GA,Viligili,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GDh,Fares-Maathodaa,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
GDh,Fiyoari,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
GDh,Gadhdhoo,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
GDh,Hoadedhdhoo,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
GDh,Madaveli,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
GDh,Nadallaa,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
GDh,Rathafandhoo,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
GDh,Thinadhoo,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
GDh,Vaadhoo,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
Gn,Fuvahmulah,Gnaviyani Atoll,Fuvahmulah,Gnaviyani
HA,Baarah,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
HA,Dhidhdhoo,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
HA,Filladhoo,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
HA,Hoarafushi,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
HA,Ihavandhoo,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
HA,Kelaa,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
HA,Maarandhoo,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
HA,Mulhadhoo,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
HA,Muraidhoo,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
HA,Thakandhoo,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
HA,Thuraakunu,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
HA,Uligamu,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
HA,Utheemu,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
HA,Vashafaru,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
HDh,Finey,Haa Dhaal Atoll,Thiladhunmathee Dhekunuburi,Haa Dhaalu
HDh,Hanimaadhoo,Haa Dhaal Atoll,Thiladhunmathee Dhekunuburi,Haa Dhaalu
HDh,Hirimaradhoo,Haa Dhaal Atoll,Thiladhunmathee Dhekunuburi,Haa Dhaalu
HDh,Kulhudhuffushi,Haa Dhaal Atoll,Thiladhunmathee Dhekunuburi,Haa Dhaalu
HDh,Kumundhoo,Haa Dhaal Atoll,Thiladhunmathee Dhekunuburi,Haa Dhaalu
HDh,Kuribi,Haa Dhaal Atoll,Thiladhunmathee Dhekunuburi,Haa Dhaalu
HDh,Makunudhoo,Haa Dhaal Atoll,Thiladhunmathee Dhekunuburi,Haa Dhaalu
HDh,Naivaadhoo,Haa Dhaal Atoll,Thiladhunmathee Dhekunuburi,Haa Dhaalu
HDh,Nellaidhoo,Haa Dhaal Atoll,Thiladhunmathee Dhekunuburi,Haa Dhaalu
HDh,Neykurendhoo,Haa Dhaal Atoll,Thiladhunmathee Dhekunuburi,Haa Dhaalu
HDh,Nolhivaramu,Haa Dhaal Atoll,Thiladhunmathee Dhekunuburi,Haa Dhaalu
HDh,Nolhivaranfaru,Haa Dhaal Atoll,Thiladhunmathee Dhekunuburi,Haa Dhaalu
HDh,Vaikaradhoo,Haa Dhaal Atoll,Thiladhunmathee Dhekunuburi,Haa Dhaalu
K,Dhiffushi,Kaafu Atoll,Malé Atholhu,Kaafu
K,Gaafaru,Kaafu Atoll,Malé Atholhu,Kaafu
K,Gulhi,Kaafu Atoll,Malé Atholhu,Kaafu
K,Guraidhoo,Kaafu Atoll,Malé Atholhu,Kaafu
K,Himmafushi,Kaafu Atoll,Malé Atholhu,Kaafu
K,Huraa,Kaafu Atoll,Malé Atholhu,Kaafu
K,Kaashidhoo,Kaafu Atoll,Malé Atholhu,Kaafu
K,Maafushi,Kaafu Atoll,Malé Atholhu,Kaafu
K,Thulusdhoo,Kaafu Atoll,Malé Atholhu,Kaafu
L,Dhabidhoo,Laamu Atoll,Hadhdhummathi Atholhu,Laamu
L,Fonadhoo,Laamu Atoll,Hadhdhummathi Atholhu,Laamu
L,Gamu,Laamu Atoll,Hadhdhummathi Atholhu,Laamu
L,Hithadhoo,Laamu Atoll,Hadhdhummathi Atholhu,Laamu
L,Isdhoo,Laamu Atoll,Hadhdhummathi Atholhu,Laamu
L,Kalaidhoo,Laamu Atoll,Hadhdhummathi Atholhu,Laamu
L,Kunahandhoo,Laamu Atoll,Hadhdhummathi Atholhu,Laamu
L,Maabaidhoo,Laamu Atoll,Hadhdhummathi Atholhu,Laamu
L,Maamendhoo,Laamu Atoll,Hadhdhummathi Atholhu,Laamu
L,Maavah,Laamu Atoll,Hadhdhummathi Atholhu,Laamu
L,Mundoo,Laamu Atoll,Hadhdhummathi Atholhu,Laamu
Lh,Hinnavaru,Lhaviyani Atoll,Faadhippolhu,Lhaviyani
Lh,Kurendhoo,Lhaviyani Atoll,Faadhippolhu,Lhaviyani
Lh,Naifaru,Lhaviyani Atoll,Faadhippolhu,Lhaviyani
Lh,Olhuvelifushi,Lhaviyani Atoll,Faadhippolhu,Lhaviyani
M,Dhiggaru,Meemu Atoll,Mulakatolhu,Meemu
M,Kolhufushi,Meemu Atoll,Mulakatolhu,Meemu
M,Maduvvari,Meemu Atoll,Mulakatolhu,Meemu
M,Mulah,Meemu Atoll,Mulakatolhu,Meemu
M,Muli,Meemu Atoll,Mulakatolhu,Meemu
M,Naalaafushi,Meemu Atoll,Mulakatolhu,Meemu
M,Raimandhoo,Meemu Atoll,Mulakatolhu,Meemu
M,Veyvah,Meemu Atoll,Mulakatolhu,Meemu
N,Fodhdhoo,Noonu Atoll,Miladhunmadulu Dhekunuburi,Noonu
N,Henbadhoo,Noonu Atoll,Miladhunmadulu Dhekunuburi,Noonu
N,Holhudhoo,Noonu Atoll,Miladhunmadulu Dhekunuburi,Noonu
N,Kedhikulhudhoo,Noonu Atoll,Miladhunmadulu Dhekunuburi,Noonu
N,Kudafari,Noonu Atoll,Miladhunmadulu Dhekunuburi,Noonu
N,Landhoo,Noonu Atoll,Miladhunmadulu Dhekunuburi,Noonu
N,Lhohi,Noonu Atoll,Miladhunmadulu Dhekunuburi,Noonu
N,Maafaru,Noonu Atoll,Miladhunmadulu Dhekunuburi,Noonu
N,Maalhendhoo,Noonu Atoll,Miladhunmadulu Dhekunuburi,Noonu
N,Magoodhoo,Noonu Atoll,Miladhunmadulu Dhekunuburi,Noonu
N,Manadhoo,Noonu Atoll,Miladhunmadulu Dhekunuburi,Noonu
N,Miladhoo,Noonu Atoll,Miladhunmadulu Dhekunuburi,Noonu
N,Velidhoo,Noonu Atoll,Miladhunmadulu Dhekunuburi,Noonu
R,Agolhitheemu,Raa Atoll,Maalhosmadulu Uthuruburi,Raa
R,Alifushi,Raa Atoll,Maalhosmadulu Uthuruburi,Raa
R,Dhuvaafaru,Raa Atoll,Maalhosmadulu Uthuruburi,Raa
R,Fainu,Raa Atoll,Maalhosmadulu Uthuruburi,Raa
R,Hulhudhuffaaru,Raa Atoll,Maalhosmadulu Uthuruburi,Raa
R,Iguraidhoo,Raa Atoll,Maalhosmadulu Uthuruburi,Raa
R,Innamaadhoo,Raa Atoll,Maalhosmadulu Uthuruburi,Raa
R,Kinolhas,Raa Atoll,Maalhosmadulu Uthuruburi,Raa
R,Maakurathu,Raa Atoll,Maalhosmadulu Uthuruburi,Raa
R,Maduvvari,Raa Atoll,Maalhosmadulu Uthuruburi,Raa
R,Meedhoo,Raa Atoll,Maalhosmadulu Uthuruburi,Raa
R,Rasgetheemu,Raa Atoll,Maalhosmadulu Uthuruburi,Raa
R,Rasmaadhoo,Raa Atoll,Maalhosmadulu Uthuruburi,Raa
R,Ugoofaaru,Raa Atoll,Maalhosmadulu Uthuruburi,Raa
R,Vaadhoo,Raa Atoll,Maalhosmadulu Uthuruburi,Raa
S,Feydhoo,Seenu Atoll,Addu Atholhu,Seenu
S,Hithadhoo,Seenu Atoll,Addu Atholhu,Seenu
S,Hulhudhoo,Seenu Atoll,Addu Atholhu,Seenu
S,Maradhoo,Seenu Atoll,Addu Atholhu,Seenu
S,Maradhoo-Feydhoo,Seenu Atoll,Addu Atholhu,Seenu
S,Meedhoo,Seenu Atoll,Addu Atholhu,Seenu
Sh,Bilehffahi,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Feevah,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Feydhoo,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Foakaidhoo,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Funadhoo,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Goidhoo,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Kaditheemu,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Komandoo,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Lhaimagu,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Maaugoodhoo,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Maroshi,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Milandhoo,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Narudhoo,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Noomaraa,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Th,Buruni,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Dhiyamigili,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Gaadhiffushi,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Guraidhoo,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Hirilandhoo,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Kadoodhoo,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Kibidhoo,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Madifushi,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Omadhoo,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Thimarafushi,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Vandhoo,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Veymandoo,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Vilufushi,Thaa Atoll,Kolhumadulu Atholhu,Thaa
V,Felidhoo,Vaavu Atoll,Felidhe Atholhu,Vaavu
V,Fulidhoo,Vaavu Atoll,Felidhe Atholhu,Vaavu
V,Keyodhoo,Vaavu Atoll,Felidhe Atholhu,Vaavu
V,Rakeedhoo,Vaavu Atoll,Felidhe Atholhu,Vaavu
V,Thinadhoo,Vaavu Atoll,Felidhe Atholhu,Vaavu
